"","X","Station","Date","Temp","Sal","Score"
"1032",12444,"WJ018.00","9-Dec-08",-2,30,2
"1033",12445,"WJ018.20","9-Dec-08",1,30,2
"1034",12446,"WJ018.90","9-Dec-08",2,30,2
"1035",12468,"WJ017.50","29-Jul-08",20,30,2
"1036",12469,"WJ018.90","29-Jul-08",18,30,2
"1037",12470,"WJ024.00","29-Jul-08",19,30,2
"1038",12478,"WJ019.00","9-Jun-08",14,30,2
"1039",12496,"WJ018.60","5-Dec-07",-7,30,2
"1040",12497,"WJ018.90","5-Dec-07",-5,30,2
"1041",12498,"WJ019.00","5-Dec-07",-3,30,2
"1042",12507,"WJ024.00","13-Nov-07",3,30,2
"1043",12509,"WJ016.00","30-Oct-07",10,30,2
"1044",12511,"WJ017.50","10-Oct-07",12,32,2
"1045",12512,"WJ018.00","10-Oct-07",11,32,2
"1046",12513,"WJ018.20","10-Oct-07",11,32,2
"1047",12520,"WJ017.50","11-Sep-07",17,31,2
"1048",12521,"WJ018.60","11-Sep-07",15,32,2
"1049",12522,"WJ019.00","11-Sep-07",13,31,2
"1050",12528,"WJ017.00","28-Aug-07",23,32,2
"1051",12529,"WJ019.00","28-Aug-07",25,30,2
"1052",12534,"WJ018.20","14-Aug-07",22,31,2
"1053",12535,"WJ019.00","14-Aug-07",19,31,2
"1054",12543,"WJ017.00","19-Jul-07",17,30,2
"1055",12544,"WJ019.00","19-Jul-07",17,30,2
"1056",12545,"WJ018.00","8-Jul-07",16,30,2
"1057",12546,"WJ018.90","8-Jul-07",16,30,2
"1058",12552,"WJ017.80","10-Jun-07",13,28,2
"1059",12553,"WJ018.20","10-Jun-07",12,28,2
"1060",12560,"WJ018.00","1-May-07",6,26,2
"1061",12561,"WJ018.20","1-May-07",10,26,2
"1062",12562,"WJ019.00","1-May-07",8,26,2
"1063",12617,"WJ016.00","25-Apr-90",8,35,2
"1064",12622,"WJ022.00","25-Apr-90",9,34,2
"1065",12702,"WJ016.00","9-Oct-18",13,32,1.9
"1066",12712,"WJ017.00","19-Sep-18",16,31,1.9
"1067",12713,"WJ018.00","19-Sep-18",17,31,1.9
"1068",12714,"WJ019.00","19-Sep-18",16,30,1.9
"1069",12715,"WJ024.00","19-Sep-18",16,31,1.9
"1070",12729,"WJ016.00","18-Sep-18",17,34,1.9
"1071",12770,"WJ016.00","8-Aug-18",19,31,1.9
"1072",12771,"WJ017.50","8-Aug-18",21,34,1.9
"1073",12772,"WJ018.00","8-Aug-18",21,34,1.9
"1074",12773,"WJ018.60","8-Aug-18",20,34,1.9
"1075",12775,"WJ017.50","10-Jul-18",19,33,1.9
"1076",12788,"WJ016.00","9-Jul-18",17,32,1.9
"1077",12809,"WJ017.00","5-Jun-18",11,30,1.9
"1078",12810,"WJ017.50","5-Jun-18",12,29,1.9
"1079",12811,"WJ018.00","5-Jun-18",12,29,1.9
"1080",12812,"WJ018.20","5-Jun-18",12,29,1.9
"1081",12813,"WJ018.90","5-Jun-18",12,30,1.9
"1082",12814,"WJ019.00","5-Jun-18",12,30,1.9
"1083",12837,"WJ016.00","4-Jun-18",12,29,1.9
"1084",12871,"WJ017.00","14-May-18",11,29,1.9
"1085",12872,"WJ017.50","14-May-18",12,29,1.9
"1086",12873,"WJ017.80","14-May-18",11,29,1.9
"1087",12874,"WJ018.90","14-May-18",11,29,1.9
"1088",12899,"WJ016.00","7-May-18",10,30,1.9
"1089",12900,"WJ017.00","25-Apr-18",9,30,1.9
"1090",12901,"WJ017.50","25-Apr-18",10,30,1.9
"1091",12902,"WJ017.80","25-Apr-18",10,30,1.9
"1092",12903,"WJ018.20","25-Apr-18",10,30,1.9
"1093",12904,"WJ018.60","25-Apr-18",11,30,1.9
"1094",12905,"WJ018.90","25-Apr-18",10,30,1.9
"1095",12906,"WJ019.00","25-Apr-18",9,30,1.9
"1096",12907,"WJ024.00","25-Apr-18",8,28,1.9
"1097",12926,"WJ016.00","24-Apr-18",5,31,1.9
"1098",12978,"WJ016.00","20-Mar-18",1,36,1.9
"1099",12994,"WJ016.00","21-Feb-18",4,31,1.9
"1100",13008,"WJ016.00","6-Feb-18",-1,34,1.9
"1101",13097,"WJ016.00","27-Sep-17",17,32,1.9
"1102",13101,"WJ017.00","13-Sep-17",16,33,1.9
"1103",13102,"WJ018.60","13-Sep-17",17,31,1.9
"1104",13103,"WJ018.90","13-Sep-17",17,29,1.9
"1105",13104,"WJ019.00","13-Sep-17",19,32,1.9
"1106",13107,"WJ017.00","30-Aug-17",16,32,1.9
"1107",13108,"WJ017.50","30-Aug-17",17,32,1.9
"1108",13109,"WJ018.20","30-Aug-17",18,32,1.9
"1109",13110,"WJ019.00","30-Aug-17",16,32,1.9
"1110",13111,"WJ024.00","30-Aug-17",15,32,1.9
"1111",13136,"WJ016.00","14-Aug-17",19,32,1.9
"1112",13154,"WJ016.00","2-Aug-17",15,32,1.9
"1113",13165,"WJ018.90","18-Jul-17",16,31,1.9
"1114",13192,"WJ017.00","12-Jun-17",19,30,1.9
"1115",13193,"WJ017.50","12-Jun-17",20,30,1.9
"1116",13194,"WJ017.80","12-Jun-17",21,28,1.9
"1117",13195,"WJ018.00","12-Jun-17",22,28,1.9
"1118",13196,"WJ018.20","12-Jun-17",20,28,1.9
"1119",13197,"WJ018.90","12-Jun-17",21,30,1.9
"1120",13198,"WJ019.00","12-Jun-17",21,30,1.9
"1121",13199,"WJ024.00","12-Jun-17",17,30,1.9
"1122",13214,"WJ017.00","17-May-17",13,30,1.9
"1123",13215,"WJ017.50","17-May-17",14,26,1.9
"1124",13216,"WJ018.20","17-May-17",13,26,1.9
"1125",13217,"WJ018.90","17-May-17",14,26,1.9
"1126",13218,"WJ019.00","17-May-17",19,26,1.9
"1127",13219,"WJ024.00","17-May-17",14,26,1.9
"1128",13283,"WJ016.00","10-Apr-17",6,26,1.9
"1129",13329,"WJ016.00","21-Mar-17",0,30,1.9
"1130",13351,"WJ016.00","25-Jan-17",5,32,1.9
"1131",13428,"WJ017.00","8-Nov-16",12,32,1.9
"1132",13429,"WJ017.50","8-Nov-16",12,32,1.9
"1133",13430,"WJ018.00","8-Nov-16",14,29,1.9
"1134",13431,"WJ018.20","8-Nov-16",12,32,1.9
"1135",13432,"WJ018.60","8-Nov-16",12,32,1.9
"1136",13433,"WJ018.90","8-Nov-16",9,32,1.9
"1137",13434,"WJ024.00","8-Nov-16",9,32,1.9
"1138",13458,"WJ017.50","21-Sep-16",21,32,1.9
"1139",13459,"WJ018.00","21-Sep-16",23,31,1.9
"1140",13460,"WJ018.20","21-Sep-16",22,32,1.9
"1141",13461,"WJ018.60","21-Sep-16",22,31,1.9
"1142",13462,"WJ024.00","21-Sep-16",23,32,1.9
"1143",13497,"WJ016.00","17-Aug-16",15,32,1.9
"1144",13548,"WJ017.00","15-Jun-16",14,31,1.9
"1145",13549,"WJ017.50","15-Jun-16",14,31,1.9
"1146",13550,"WJ017.80","15-Jun-16",14,31,1.9
"1147",13551,"WJ018.00","15-Jun-16",14,31,1.9
"1148",13552,"WJ018.60","15-Jun-16",14,31,1.9
"1149",13553,"WJ018.90","15-Jun-16",14,31,1.9
"1150",13554,"WJ019.00","15-Jun-16",14,31,1.9
"1151",13557,"WJ017.00","10-May-16",13,30,1.9
"1152",13558,"WJ017.50","10-May-16",14,30,1.9
"1153",13559,"WJ017.80","10-May-16",15,30,1.9
"1154",13560,"WJ018.00","10-May-16",14,30,1.9
"1155",13561,"WJ018.20","10-May-16",12,30,1.9
"1156",13562,"WJ018.60","10-May-16",14,30,1.9
"1157",13563,"WJ018.90","10-May-16",13,30,1.9
"1158",13564,"WJ019.00","10-May-16",15,30,1.9
"1159",13565,"WJ024.00","10-May-16",11,30,1.9
"1160",13604,"WJ016.00","9-May-16",8,31,1.9
"1161",13648,"WJ016.00","27-Apr-16",8,30,1.9
"1162",13680,"WJ017.00","30-Mar-16",7,30,1.9
"1163",13681,"WJ017.50","30-Mar-16",7,30,1.9
"1164",13682,"WJ017.80","30-Mar-16",7,30,1.9
"1165",13683,"WJ018.00","30-Mar-16",7,30,1.9
"1166",13684,"WJ018.20","30-Mar-16",7,30,1.9
"1167",13685,"WJ018.60","30-Mar-16",9,30,1.9
"1168",13686,"WJ018.90","30-Mar-16",8,30,1.9
"1169",13687,"WJ024.00","30-Mar-16",7,30,1.9
"1170",13740,"WJ018.20","29-Dec-15",1,30,1.9
"1171",13741,"WJ018.90","29-Dec-15",1,30,1.9
"1172",13751,"WJ017.50","15-Dec-15",6,30,1.9
"1173",13819,"WJ017.00","28-Oct-15",1,32,1.9
"1174",13820,"WJ017.80","28-Oct-15",1,32,1.9
"1175",13821,"WJ018.00","28-Oct-15",1,32,1.9
"1176",13822,"WJ018.60","28-Oct-15",1,32,1.9
"1177",13823,"WJ018.90","28-Oct-15",1,32,1.9
"1178",13824,"WJ019.00","28-Oct-15",1,32,1.9
"1179",13825,"WJ024.00","28-Oct-15",1,32,1.9
"1180",13857,"WJ017.00","2-Sep-15",12,30,1.9
"1181",13858,"WJ017.50","2-Sep-15",13,30,1.9
"1182",13859,"WJ017.80","2-Sep-15",14,30,1.9
"1183",13860,"WJ018.00","2-Sep-15",15,30,1.9
"1184",13861,"WJ018.20","2-Sep-15",14,30,1.9
"1185",13862,"WJ024.00","2-Sep-15",13,30,1.9
"1186",13876,"WJ016.00","1-Sep-15",11,30,1.9
"1187",13912,"WJ016.00","17-Aug-15",12,30,1.9
"1188",13933,"WJ017.00","16-Jul-15",11,30,1.9
"1189",13934,"WJ017.50","16-Jul-15",11,30,1.9
"1190",13935,"WJ018.00","16-Jul-15",12,30,1.9
"1191",13936,"WJ018.60","16-Jul-15",12,30,1.9
"1192",13937,"WJ018.90","16-Jul-15",11,31,1.9
"1193",13938,"WJ019.00","16-Jul-15",12,30,1.9
"1194",13959,"WJ016.00","14-Jul-15",18,30,1.9
"1195",13975,"WJ016.00","26-May-15",16,30,1.9
"1196",13976,"WJ017.00","26-May-15",16,30,1.9
"1197",13977,"WJ017.50","26-May-15",16,30,1.9
"1198",13978,"WJ017.80","26-May-15",16,28,1.9
"1199",13979,"WJ018.60","26-May-15",16,30,1.9
"1200",13980,"WJ018.90","26-May-15",14,30,1.9
"1201",13981,"WJ019.00","26-May-15",15,30,1.9
"1202",14017,"WJ016.00","13-May-15",13,30,1.9
"1203",14030,"WJ016.00","4-May-15",12,30,1.9
"1204",14047,"WJ016.00","28-Apr-15",5,30,1.9
"1205",14048,"WJ017.00","28-Apr-15",5,29,1.9
"1206",14049,"WJ017.50","28-Apr-15",5,28,1.9
"1207",14050,"WJ017.80","28-Apr-15",5,30,1.9
"1208",14051,"WJ018.00","28-Apr-15",5,28,1.9
"1209",14052,"WJ018.20","28-Apr-15",5,29,1.9
"1210",14053,"WJ018.60","28-Apr-15",6,30,1.9
"1211",14054,"WJ018.90","28-Apr-15",5,30,1.9
"1212",14055,"WJ019.00","28-Apr-15",5,30,1.9
"1213",14056,"WJ024.00","28-Apr-15",5,29,1.9
"1214",14067,"WJ016.00","14-Apr-15",7,29,1.9
"1215",14068,"WJ017.00","14-Apr-15",7,28,1.9
"1216",14069,"WJ017.50","14-Apr-15",6,26,1.9
"1217",14070,"WJ018.90","14-Apr-15",6,26,1.9
"1218",14071,"WJ024.00","14-Apr-15",5,28,1.9
"1219",14114,"WJ016.00","21-Jan-15",0,30,1.9
"1220",14150,"WJ016.00","6-Oct-14",12,32,1.9
"1221",14151,"WJ017.50","6-Oct-14",12,32,1.9
"1222",14152,"WJ018.60","6-Oct-14",13,32,1.9
"1223",14153,"WJ018.90","6-Oct-14",12,32,1.9
"1224",14168,"WJ016.00","22-Sep-14",14,30,1.9
"1225",14194,"WJ016.00","9-Sep-14",14,30,1.9
"1226",14195,"WJ017.00","9-Sep-14",15,30,1.9
"1227",14196,"WJ017.50","9-Sep-14",15,30,1.9
"1228",14197,"WJ018.60","9-Sep-14",15,30,1.9
"1229",14198,"WJ019.00","9-Sep-14",16,30,1.9
"1230",14199,"WJ024.00","9-Sep-14",16,30,1.9
"1231",14221,"WJ016.00","24-Aug-14",16,30,1.9
"1232",14234,"WJ017.50","5-Aug-14",19,30,1.9
"1233",14235,"WJ018.00","5-Aug-14",18,30,1.9
"1234",14236,"WJ018.20","5-Aug-14",18,30,1.9
"1235",14256,"WJ016.00","4-Aug-14",19,30,1.9
"1236",14301,"WJ016.00","3-Jun-14",14,29,1.9
"1237",14302,"WJ017.00","3-Jun-14",16,28,1.9
"1238",14303,"WJ017.50","3-Jun-14",16,28,1.9
"1239",14304,"WJ017.80","3-Jun-14",19,28,1.9
"1240",14305,"WJ018.00","3-Jun-14",21,28,1.9
"1241",14306,"WJ018.20","3-Jun-14",16,28,1.9
"1242",14307,"WJ018.60","3-Jun-14",17,28,1.9
"1243",14308,"WJ018.90","3-Jun-14",16,28,1.9
"1244",14309,"WJ019.00","3-Jun-14",20,28,1.9
"1245",14310,"WJ024.00","3-Jun-14",16,30,1.9
"1246",14337,"WJ016.00","2-Jun-14",13,30,1.9
"1247",14346,"WJ017.00","6-May-14",5,28,1.9
"1248",14347,"WJ017.50","6-May-14",6,28,1.9
"1249",14348,"WJ017.80","6-May-14",6,28,1.9
"1250",14349,"WJ018.00","6-May-14",6,28,1.9
"1251",14350,"WJ018.20","6-May-14",6,28,1.9
"1252",14351,"WJ018.60","6-May-14",7,28,1.9
"1253",14352,"WJ018.90","6-May-14",6,28,1.9
"1254",14353,"WJ024.00","6-May-14",7,28,1.9
"1255",14381,"WJ016.00","5-May-14",7,28,1.9
"1256",14450,"WJ016.00","15-Apr-14",6,26,1.9
"1257",14502,"WJ016.00","10-Mar-14",-1,31,1.9
"1258",14503,"WJ017.00","10-Mar-14",0,31,1.9
"1259",14504,"WJ017.50","10-Mar-14",0,30,1.9
"1260",14505,"WJ018.00","10-Mar-14",0,28,1.9
"1261",14506,"WJ018.90","10-Mar-14",0,30,1.9
"1262",14507,"WJ024.00","10-Mar-14",0,30,1.9
"1263",14520,"WJ016.00","11-Feb-14",1,30,1.9
"1264",14570,"WJ017.00","16-Oct-13",13,31,1.9
"1265",14571,"WJ017.50","16-Oct-13",13,31,1.9
"1266",14572,"WJ017.80","16-Oct-13",13,31,1.9
"1267",14573,"WJ018.00","16-Oct-13",13,31,1.9
"1268",14574,"WJ018.20","16-Oct-13",13,31,1.9
"1269",14575,"WJ018.60","16-Oct-13",13,31,1.9
"1270",14576,"WJ018.90","16-Oct-13",13,31,1.9
"1271",14577,"WJ019.00","16-Oct-13",14,30,1.9
"1272",14578,"WJ024.00","16-Oct-13",13,30,1.9
"1273",14608,"WJ016.00","15-Oct-13",12,30,1.9
"1274",14633,"WJ016.00","30-Sep-13",13,32,1.9
"1275",14643,"WJ016.00","10-Sep-13",15,30,1.9
"1276",14644,"WJ017.00","28-Aug-13",18,30,1.9
"1277",14645,"WJ017.50","28-Aug-13",20,30,1.9
"1278",14646,"WJ018.20","28-Aug-13",20,30,1.9
"1279",14647,"WJ018.90","28-Aug-13",21,30,1.9
"1280",14648,"WJ019.00","28-Aug-13",24,30,1.9
"1281",14649,"WJ024.00","28-Aug-13",19,30,1.9
"1282",14674,"WJ016.00","27-Aug-13",20,30,1.9
"1283",14687,"WJ017.00","16-Jul-13",20,28,1.9
"1284",14688,"WJ017.50","16-Jul-13",21,28,1.9
"1285",14689,"WJ018.00","16-Jul-13",22,28,1.9
"1286",14690,"WJ018.90","16-Jul-13",22,28,1.9
"1287",14691,"WJ024.00","16-Jul-13",20,28,1.9
"1288",14714,"WJ016.00","15-Jul-13",20,28,1.9
"1289",14745,"WJ016.00","5-Jun-13",14,30,1.9
"1290",14763,"WJ018.60","23-Apr-13",8,30,1.9
"1291",14765,"WJ017.00","10-Apr-13",8,30,1.9
"1292",14766,"WJ017.50","10-Apr-13",6,30,1.9
"1293",14767,"WJ017.80","10-Apr-13",8,30,1.9
"1294",14768,"WJ018.00","10-Apr-13",6,30,1.9
"1295",14769,"WJ018.20","10-Apr-13",6,30,1.9
"1296",14770,"WJ018.90","10-Apr-13",6,30,1.9
"1297",14771,"WJ019.00","10-Apr-13",7,29,1.9
"1298",14772,"WJ024.00","10-Apr-13",6,30,1.9
"1299",14830,"WJ018.20","19-Mar-13",4,29,1.9
"1300",14855,"WJ016.00","5-Mar-13",3,30,1.9
"1301",14870,"WJ018.90","19-Feb-13",-3,30,1.9
"1302",14871,"WJ024.00","19-Feb-13",-1,30,1.9
"1303",14940,"WJ016.00","25-Nov-12",5,32,1.9
"1304",14960,"WJ018.00","5-Nov-12",8,30,1.9
"1305",14961,"WJ018.60","5-Nov-12",7,32,1.9
"1306",14962,"WJ018.90","5-Nov-12",9,32,1.9
"1307",14963,"WJ019.00","5-Nov-12",8,31,1.9
"1308",14964,"WJ024.00","5-Nov-12",10,32,1.9
"1309",15020,"WJ016.00","21-Oct-12",12,32,1.9
"1310",15039,"WJ016.00","9-Oct-12",13,32,1.9
"1311",15061,"WJ016.00","23-Sep-12",16,30,1.9
"1312",15083,"WJ017.50","10-Sep-12",17,30,1.9
"1313",15084,"WJ018.90","10-Sep-12",17,30,1.9
"1314",15085,"WJ019.00","10-Sep-12",17,30,1.9
"1315",15086,"WJ024.00","10-Sep-12",18,30,1.9
"1316",15097,"WJ016.00","9-Sep-12",20,30,1.9
"1317",15110,"WJ016.00","26-Aug-12",20,30,1.9
"1318",15145,"WJ016.00","1-Aug-12",18,30,1.9
"1319",15146,"WJ017.00","1-Aug-12",21,30,1.9
"1320",15147,"WJ018.90","1-Aug-12",20,30,1.9
"1321",15168,"WJ016.00","10-Jul-12",19,30,1.9
"1322",15169,"WJ017.00","10-Jul-12",21,30,1.9
"1323",15170,"WJ017.50","10-Jul-12",22,29,1.9
"1324",15171,"WJ017.80","10-Jul-12",22,28,1.9
"1325",15172,"WJ018.00","10-Jul-12",21,29,1.9
"1326",15173,"WJ018.20","10-Jul-12",20,29,1.9
"1327",15174,"WJ018.60","10-Jul-12",20,29,1.9
"1328",15175,"WJ018.90","10-Jul-12",22,30,1.9
"1329",15176,"WJ019.00","10-Jul-12",22,30,1.9
"1330",15177,"WJ024.00","10-Jul-12",20,30,1.9
"1331",15203,"WJ016.00","18-Jun-12",18,27,1.9
"1332",15210,"WJ016.00","30-May-12",15,28,1.9
"1333",15243,"WJ016.00","2-May-12",9,29,1.9
"1334",15244,"WJ017.00","2-May-12",10,30,1.9
"1335",15245,"WJ018.20","2-May-12",9,30,1.9
"1336",15246,"WJ018.90","2-May-12",10,30,1.9
"1337",15247,"WJ019.00","2-May-12",9,30,1.9
"1338",15248,"WJ024.00","2-May-12",8,30,1.9
"1339",15266,"WJ016.00","3-Apr-12",6,32,1.9
"1340",15314,"WJ018.00","5-Mar-12",4,30,1.9
"1341",15315,"WJ018.60","5-Mar-12",3,28,1.9
"1342",15316,"WJ018.90","5-Mar-12",2,30,1.9
"1343",15317,"WJ019.00","5-Mar-12",5,30,1.9
"1344",15318,"WJ024.00","5-Mar-12",3,30,1.9
"1345",15332,"WJ016.00","21-Feb-12",1,32,1.9
"1346",15360,"WJ016.00","3-Jan-12",1,30,1.9
"1347",15408,"WJ016.00","7-Nov-11",6,30,1.9
"1348",15429,"WJ016.00","6-Sep-11",17,30,1.9
"1349",15439,"WJ016.00","15-Aug-11",19,30,1.9
"1350",15440,"WJ017.00","15-Aug-11",19,30,1.9
"1351",15441,"WJ018.00","15-Aug-11",19,30,1.9
"1352",15442,"WJ018.60","15-Aug-11",18,30,1.9
"1353",15443,"WJ018.90","15-Aug-11",18,30,1.9
"1354",15444,"WJ019.00","15-Aug-11",19,29,1.9
"1355",15445,"WJ024.00","15-Aug-11",18,30,1.9
"1356",15463,"WJ017.80","5-Jul-11",21,30,1.9
"1357",15464,"WJ018.20","5-Jul-11",23,30,1.9
"1358",15465,"WJ018.60","5-Jul-11",22,28,1.9
"1359",15466,"WJ018.90","5-Jul-11",20,30,1.9
"1360",15467,"WJ019.00","5-Jul-11",24,28,1.9
"1361",15468,"WJ024.00","5-Jul-11",20,29,1.9
"1362",15498,"WJ017.00","20-Jun-11",15,28,1.9
"1363",15499,"WJ017.50","20-Jun-11",17,28,1.9
"1364",15500,"WJ017.80","20-Jun-11",23,28,1.9
"1365",15501,"WJ018.20","20-Jun-11",18,30,1.9
"1366",15502,"WJ018.60","20-Jun-11",23,30,1.9
"1367",15503,"WJ018.90","20-Jun-11",16,29,1.9
"1368",15504,"WJ019.00","20-Jun-11",21,28,1.9
"1369",15505,"WJ024.00","20-Jun-11",17,28,1.9
"1370",15525,"WJ016.00","16-May-11",9,28,1.9
"1371",15567,"WJ017.00","4-Apr-11",4,30,1.9
"1372",15568,"WJ017.50","4-Apr-11",5,28,1.9
"1373",15569,"WJ018.20","4-Apr-11",5,29,1.9
"1374",15570,"WJ018.60","4-Apr-11",5,30,1.9
"1375",15571,"WJ018.90","4-Apr-11",5,30,1.9
"1376",15572,"WJ019.00","4-Apr-11",4,30,1.9
"1377",15573,"WJ024.00","4-Apr-11",3,30,1.9
"1378",15609,"WJ017.50","21-Mar-11",3,28,1.9
"1379",15610,"WJ018.90","21-Mar-11",3,28,1.9
"1380",15611,"WJ024.00","21-Mar-11",4,28,1.9
"1381",15622,"WJ016.00","2-Mar-11",-1,30,1.9
"1382",15627,"WJ016.00","7-Feb-11",-2,32,1.9
"1383",15718,"WJ016.00","13-Oct-10",14,32,1.9
"1384",15719,"WJ017.00","13-Oct-10",14,32,1.9
"1385",15720,"WJ017.50","13-Oct-10",14,32,1.9
"1386",15721,"WJ017.80","13-Oct-10",15,32,1.9
"1387",15722,"WJ018.00","13-Oct-10",15,32,1.9
"1388",15723,"WJ018.20","13-Oct-10",14,32,1.9
"1389",15724,"WJ018.60","13-Oct-10",17,32,1.9
"1390",15725,"WJ018.90","13-Oct-10",13,32,1.9
"1391",15726,"WJ019.00","13-Oct-10",15,32,1.9
"1392",15727,"WJ024.00","13-Oct-10",14,32,1.9
"1393",15760,"WJ016.00","20-Sep-10",15,31,1.9
"1394",15768,"WJ018.20","25-Aug-10",19,30,1.9
"1395",15769,"WJ018.60","25-Aug-10",19,30,1.9
"1396",15770,"WJ019.00","25-Aug-10",17,32,1.9
"1397",15771,"WJ024.00","25-Aug-10",20,30,1.9
"1398",15796,"WJ016.00","7-Jul-10",21,30,1.9
"1399",15797,"WJ018.00","7-Jul-10",24,30,1.9
"1400",15798,"WJ018.90","7-Jul-10",20,30,1.9
"1401",15799,"WJ019.00","7-Jul-10",21,30,1.9
"1402",15815,"WJ016.00","2-Jun-10",15,30,1.9
"1403",15843,"WJ016.00","18-May-10",10,30,1.9
"1404",15844,"WJ017.00","18-May-10",11,30,1.9
"1405",15845,"WJ017.50","18-May-10",13,31,1.9
"1406",15846,"WJ017.80","18-May-10",14,30,1.9
"1407",15847,"WJ018.00","18-May-10",15,30,1.9
"1408",15848,"WJ018.20","18-May-10",12,30,1.9
"1409",15849,"WJ018.60","18-May-10",10,30,1.9
"1410",15850,"WJ018.90","18-May-10",11,31,1.9
"1411",15851,"WJ019.00","18-May-10",15,31,1.9
"1412",15852,"WJ024.00","18-May-10",10,30,1.9
"1413",15907,"WJ016.00","20-Apr-10",9,30,1.9
"1414",15908,"WJ017.50","20-Apr-10",11,30,1.9
"1415",15909,"WJ017.80","20-Apr-10",16,29,1.9
"1416",15910,"WJ018.00","20-Apr-10",13,28,1.9
"1417",15911,"WJ018.20","20-Apr-10",11,30,1.9
"1418",15912,"WJ018.60","20-Apr-10",14,30,1.9
"1419",15957,"WJ016.00","5-Apr-10",10,26,1.9
"1420",15958,"WJ017.00","5-Apr-10",10,28,1.9
"1421",15959,"WJ017.80","5-Apr-10",13,26,1.9
"1422",15960,"WJ018.00","5-Apr-10",13,25,1.9
"1423",15961,"WJ018.20","5-Apr-10",11,26,1.9
"1424",15962,"WJ018.60","5-Apr-10",12,28,1.9
"1425",15963,"WJ018.90","5-Apr-10",10,28,1.9
"1426",15964,"WJ019.00","5-Apr-10",12,28,1.9
"1427",15965,"WJ024.00","5-Apr-10",10,28,1.9
"1428",15985,"WJ016.00","16-Feb-10",0,32,1.9
"1429",15986,"WJ017.80","16-Feb-10",0,32,1.9
"1430",15987,"WJ018.00","16-Feb-10",1,32,1.9
"1431",15988,"WJ018.20","16-Feb-10",0,32,1.9
"1432",15989,"WJ018.60","16-Feb-10",1,32,1.9
"1433",15990,"WJ018.90","16-Feb-10",1,32,1.9
"1434",15991,"WJ019.00","16-Feb-10",1,30,1.9
"1435",15992,"WJ024.00","16-Feb-10",1,31,1.9
"1436",16064,"WJ017.00","2-Nov-09",11,32,1.9
"1437",16065,"WJ018.00","2-Nov-09",12,32,1.9
"1438",16066,"WJ018.90","2-Nov-09",11,32,1.9
"1439",16067,"WJ024.00","2-Nov-09",11,31,1.9
"1440",16085,"WJ016.00","5-Oct-09",14,30,1.9
"1441",16086,"WJ017.50","5-Oct-09",14,30,1.9
"1442",16087,"WJ018.90","5-Oct-09",14,30,1.9
"1443",16115,"WJ017.50","14-Sep-09",16,30,1.9
"1444",16116,"WJ024.00","14-Sep-09",15,31,1.9
"1445",16117,"WJ017.50","1-Sep-09",20,28,1.9
"1446",16118,"WJ018.00","1-Sep-09",21,30,1.9
"1447",16119,"WJ018.90","1-Sep-09",21,30,1.9
"1448",16136,"WJ018.20","3-Aug-09",21,28,1.9
"1449",16137,"WJ018.90","3-Aug-09",21,28,1.9
"1450",16138,"WJ019.00","3-Aug-09",20,28,1.9
"1451",16139,"WJ024.00","3-Aug-09",20,29,1.9
"1452",16211,"WJ016.00","14-Apr-09",6,30,1.9
"1453",16212,"WJ017.00","14-Apr-09",6,30,1.9
"1454",16213,"WJ017.50","14-Apr-09",6,30,1.9
"1455",16214,"WJ017.80","14-Apr-09",8,30,1.9
"1456",16215,"WJ018.00","14-Apr-09",7,29,1.9
"1457",16216,"WJ018.20","14-Apr-09",6,30,1.9
"1458",16217,"WJ018.60","14-Apr-09",8,30,1.9
"1459",16218,"WJ018.90","14-Apr-09",7,29,1.9
"1460",16219,"WJ019.00","14-Apr-09",8,30,1.9
"1461",16220,"WJ024.00","14-Apr-09",5,30,1.9
"1462",16258,"WJ017.80","15-Mar-09",5,28,1.9
"1463",16259,"WJ018.20","15-Mar-09",5,29,1.9
"1464",16260,"WJ018.60","15-Mar-09",5,28,1.9
"1465",16261,"WJ018.90","15-Mar-09",4,28,1.9
"1466",16262,"WJ019.00","15-Mar-09",7,29,1.9
"1467",16268,"WJ016.00","3-Mar-09",1,31,1.9
"1468",16269,"WJ017.00","3-Mar-09",0,31,1.9
"1469",16270,"WJ017.50","3-Mar-09",1,30,1.9
"1470",16271,"WJ018.00","3-Mar-09",-1,26,1.9
"1471",16272,"WJ024.00","3-Mar-09",-1,31,1.9
"1472",16305,"WJ018.90","5-Jan-09",-1,32,1.9
"1473",16306,"WJ019.00","5-Jan-09",-1,32,1.9
"1474",16315,"WJ018.60","9-Dec-08",0,30,1.9
"1475",16378,"WJ016.00","22-Sep-08",13,30,1.9
"1476",16379,"WJ017.00","22-Sep-08",14,30,1.9
"1477",16380,"WJ017.50","22-Sep-08",12,30,1.9
"1478",16381,"WJ017.80","22-Sep-08",15,31,1.9
"1479",16382,"WJ018.00","22-Sep-08",14,30,1.9
"1480",16383,"WJ018.20","22-Sep-08",13,30,1.9
"1481",16384,"WJ018.60","22-Sep-08",11,31,1.9
"1482",16385,"WJ018.90","22-Sep-08",12,29,1.9
"1483",16386,"WJ019.00","22-Sep-08",17,31,1.9
"1484",16387,"WJ024.00","22-Sep-08",12,30,1.9
"1485",16398,"WJ016.00","29-Jul-08",17,30,1.9
"1486",16399,"WJ017.00","29-Jul-08",20,28,1.9
"1487",16400,"WJ018.20","29-Jul-08",20,29,1.9
